CourseCode,Enrolments,School,AOLEsupported
CS-A1111,874,SCI,3
CS-E3210,790,SCI,0
CS-A1150,568,SCI,2
ELEC-A7100,557,ELEC,2
CS-A1111,521,SCI,2
CS-C3160,497,SCI,0
TU-A1150,481,SCI,0
32A00130,478,BIZ,0
TU-A1100,469,SCI,0
30A01100,468,BIZ,1
CS-E4800,465,SCI,3
CS-A1120,458,SCI,2
28A00110,451,BIZ,0
31A00110,439,BIZ,0
CS-E4890,419,SCI,0
CHEM-A1250,416,CHEM,0
CS-A1121,410,SCI,0
JOIN-A0001,395,SCI,0
30A02000,395,BIZ,0
TU-C1030,394,SCI,0
ELEC-A7100,384,ELEC,0
22A00110,374,BIZ,0
ENG-A1001,365,ENG,2
CS-A1130,361,SCI,3
CS-C3130,360,SCI,0
BIZ-A003,359,BIZ,0
30A03000,352,BIZ,0
MS-A0504,341,SCI,0
21A00110,340,BIZ,0
CS-E4840,334,SCI,0
23A00110,333,BIZ,0
37C00400,333,BIZ,0
30A02000,322,BIZ,0
20A00601,320,BIZ,0
20A00511,319,BIZ,0
MS-A0204,316,SCI,0
MS-A0205,316,SCI,0
MS-A0003,315,SCI,1
MS-A0103,311,SCI,3
CS-A1140,309,SCI,2
MS-A0502,307,SCI,0
MS-A0002,305,SCI,1
ELEC-A3110,298,ELEC,0
ELEC-A4130,298,ELEC,1
ENG-A1100,295,ENG,1
ENY-C2002,295,ENG,0
KJR-C2002,291,ENG,0
KJR-C1001,290,ENG,1
PHYS-A1140,290,SCI,0
SCI-A0000,290,SCI,1
MS-C1420,289,SCI,0
ELEC-A0110,285,ELEC,1
KJR-C2004,280,ENG,0
ENG-A1005,277,ENG,1
CS-C3170,276,SCI,2
MS-A0401,272,SCI,0
ELEC-A7151,266,ELEC,2
PHYS-A1130,266,SCI,0
ELEC-C7241,264,ELEC,2
MS-A0004,257,SCI,1
ENY-C2001,253,ENG,0
32C060,252,BIZ,0
MS-C2105,247,SCI,0
CS-A1141,241,SCI,3
MS-A0104,238,SCI,2
TU-C2010,237,SCI,0
KJR-C2003,234,ENG,0
MS-C1620,234,SCI,0
CS-C2120,232,SCI,0
28C00800,232,BIZ,0
CS-C1000,231,SCI,0
ELEC-A7200,230,ELEC,2
MS-A0503,229,SCI,0
27C01000,228,BIZ,0
ELEC-C1230,224,ELEC,0
TU-A1100,220,SCI,0
MS-A0102,217,SCI,2
MS-A0202,211,SCI,0
CS-E5710,208,SCI,0
31C00300,208,BIZ,0
MS-A0305,206,SCI,0
CS-C2150,205,SCI,0
CS-E4600,205,SCI,0
A21A00110,201,BIZ,0
28C00100,201,BIZ,0
ELEC-E8001,200,ELEC,0
CHEM-A1210,199,CHEM,0
CS-C3150,196,SCI,0
A21A00110,194,BIZ,0
ELEC-A0120,193,ELEC,0
ELEC-E0110,191,ELEC,1
28C00300,191,BIZ,0
ARTS-A0103,190,ARTS,1
CHEM-A1120,189,CHEM,1
CHEM-E0140,188,CHEM,2
CS-E4830,188,SCI,0
ELEC-C4210,188,ELEC,0
CS-E4820,186,SCI,0
JOIN-A0002,185,SCI,0
CHEM-A1310,184,CHEM,0
