name,value,year,lastValue,rank
ARTS,53,2016.6,53,1
ARTS,53,2016.7,53,1
ARTS,53,2016.8,53,1
ARTS,53,2016.9,53,1
ARTS,123,2017.0,53,1
ARTS,154,2017.1,123,1
ARTS,154,2017.2,154,1
ARTS,154,2017.3,154,1
ARTS,154,2017.4,154,1
ARTS,200,2017.5,154,1
ARTS,236,2017.6,200,1
ARTS,276,2017.7,236,1
ARTS,312,2017.8,276,1
ARTS,312,2017.9,312,1
ARTS,332,2018.0,312,1
ARTS,332,2018.1,332,1
ARTS,332,2018.2,332,1
ARTS,332,2018.3,332,1
ARTS,332,2018.4,332,1
ARTS,402,2018.5,332,1
ARTS,402,2018.6,402,1
ARTS,402,2018.7,402,1
ARTS,402,2018.8,402,1
ARTS,402,2018.9,402,1
ARTS,522,2019.0,402,1
ARTS,522,2019.1,522,1
ARTS,522,2019.2,522,1
ARTS,522,2019.3,522,1
BIZ,316,2016.3,316,3
BIZ,316,2016.4,316,3
BIZ,316,2016.5,316,3
BIZ,316,2016.6,316,3
BIZ,316,2016.7,316,3
BIZ,316,2016.8,316,3
BIZ,316,2016.9,316,3
BIZ,316,2017.0,316,3
BIZ,316,2017.1,316,3
BIZ,316,2017.2,316,3
BIZ,611,2017.3,611,3
BIZ,611,2017.4,611,3
BIZ,611,2017.5,611,3
BIZ,611,2017.6,611,3
BIZ,611,2017.7,611,3
BIZ,661,2017.8,611,3
BIZ,661,2017.9,661,3
BIZ,691,2018.0,661,3
BIZ,771,2018.1,691,3
BIZ,1096,2018.2,771,3
BIZ,1171,2018.3,1096,3
BIZ,1271,2018.4,1171,3
BIZ,1341,2018.5,1271,3
BIZ,1391,2018.6,1341,3
BIZ,1451,2018.7,1391,3
BIZ,1451,2018.8,1451,3
BIZ,1451,2018.9,1451,3
BIZ,1531,2019.0,1451,3
BIZ,1531,2019.1,1531,3
BIZ,1881,2019.2,1531,3
BIZ,1881,2019.3,1881,3
CHEM,19,2016.1,19,4
CHEM,19,2016.2,19,4
CHEM,19,2016.3,19,4
CHEM,19,2016.4,19,4
CHEM,53,2016.5,19,4
CHEM,53,2016.6,53,4
CHEM,53,2016.7,53,4
CHEM,149,2016.8,53,4
CHEM,149,2016.9,149,4
CHEM,149,2017.0,149,4
CHEM,149,2017.1,149,4
CHEM,149,2017.2,149,4
CHEM,149,2017.3,149,4
CHEM,149,2017.4,149,4
CHEM,149,2017.5,149,4
CHEM,149,2017.6,149,4
CHEM,149,2017.7,149,4
CHEM,164,2017.8,149,4
CHEM,164,2017.9,164,4
CHEM,164,2018.0,164,4
CHEM,164,2018.1,164,4
CHEM,164,2018.2,164,4
CHEM,463,2018.3,164,4
CHEM,463,2018.4,463,4
CHEM,463,2018.5,463,4
CHEM,1197,2018.6,463,4
CHEM,1197,2018.7,1197,4
CHEM,1197,2018.8,1197,4
CHEM,1197,2018.9,1197,4
CHEM,1197,2019.0,1197,4
CHEM,1209,2019.1,1197,4
CHEM,1509,2019.2,1209,4
CHEM,1509,2019.3,1509,4
ELEC,65,2016.6,65,2
ELEC,65,2016.7,65,2
ELEC,65,2016.8,65,2
ELEC,125,2016.9,65,2
ELEC,125,2017.0,125,2
ELEC,355,2017.1,125,2
ELEC,355,2017.2,355,2
ELEC,909,2017.3,355,2
ELEC,939,2017.4,909,2
ELEC,939,2017.5,939,2
ELEC,939,2017.6,939,2
ELEC,939,2017.7,939,2
ELEC,939,2017.8,939,2
ELEC,1759,2017.9,939,2
ELEC,1839,2018.0,1759,2
ELEC,1874,2018.1,1839,2
ELEC,1874,2018.2,1874,2
ELEC,1874,2018.3,1874,2
ELEC,1874,2018.4,1874,2
ELEC,1964,2018.5,1874,2
ELEC,2154,2018.6,1964,2
ELEC,2344,2018.7,2154,2
ELEC,2430,2018.8,2344,2
ELEC,2430,2018.9,2344,2
ELEC,2430,2019.0,2344,2
ELEC,2430,2019.1,2344,2
ELEC,2430,2019.2,2344,2
ELEC,2430,2019.3,2430,2
ENG,45,2016.1,45,5
ENG,45,2016.2,45,5
ENG,187,2016.3,45,5
ENG,187,2016.4,187,5
ENG,187,2016.5,187,5
ENG,187,2016.6,187,5
ENG,187,2016.7,187,5
ENG,289,2016.8,187,5
ENG,300,2016.9,289,5
ENG,300,2017.0,300,5
ENG,300,2017.1,300,5
ENG,300,2017.2,300,5
ENG,300,2017.3,300,5
ENG,852,2017.4,300,5
ENG,994,2017.5,852,5
ENG,994,2017.6,994,5
ENG,994,2017.7,994,5
ENG,1399,2017.8,994,5
ENG,1442,2017.9,1399,5
ENG,1442,2018.0,1442,5
ENG,1442,2018.1,1442,5
ENG,1442,2018.2,1442,5
ENG,1442,2018.3,1442,5
ENG,1617,2018.4,1442,5
ENG,1617,2018.5,1442,5
ENG,2067,2018.6,1617,5
ENG,2067,2018.7,2067,5
ENG,2067,2018.8,2067,5
ENG,2317,2018.9,2067,5
ENG,2317,2019.0,2317,5
ENG,2317,2019.1,2317,5
ENG,2317,2019.2,2317,5
ENG,2317,2019.3,2317,5
SCI,28,2016.1,28,6
SCI,28,2016.2,28,6
SCI,129,2016.3,28,6
SCI,881,2016.4,129,6
SCI,1881,2016.5,881,6
SCI,1881,2016.6,1881,6
SCI,1881,2016.7,1881,6
SCI,1881,2016.8,1881,6
SCI,2843,2016.9,1881,6
SCI,2843,2017.0,2843,6
SCI,2843,2017.1,2843,6
SCI,5631,2017.2,2843,6
SCI,5725,2017.3,5631,6
SCI,5725,2017.4,5725,6
SCI,5725,2017.5,5725,6
SCI,6568,2017.6,5725,6
SCI,6568,2017.7,6568,6
SCI,6568,2017.8,6568,6
SCI,6620,2017.9,6568,7
SCI,6620,2018.0,6620,7
SCI,7220,2018.1,6620,6
SCI,7220,2018.2,7220,6
SCI,7585,2018.3,7220,6
SCI,7585,2018.4,7585,6
SCI,7585,2018.5,7585,6
SCI,7585,2018.6,7585,6
SCI,7585,2018.7,7585,6
SCI,7585,2018.8,7585,6
SCI,7585,2018.9,7585,6
SCI,7585,2019.0,7585,6
SCI,7585,2019.1,7585,6
SCI,7585,2019.2,7585,6
SCI,7585,2019.3,7585,6
Language Centre,34,2016.8,34,7
Language Centre,314,2016.9,34,7
