name,value,year,lastValue,rank,colour
ARTS,53,2016.6,53,1,#FFA300
ARTS,53,2016.7,53,1,#FFA300
ARTS,53,2016.8,53,1,#FFA300
ARTS,53,2016.9,53,1,#FFA300
ARTS,123,2017,53,1,#FFA300
ARTS,154,2017.1,123,1,#FFA300
ARTS,200,2017.2,154,1,#FFA300
ARTS,218,2017.3,200,1,#FFA300
ARTS,254,2017.4,218,1,#FFA300
ARTS,290,2017.5,254,1,#FFA300
ARTS,330,2017.6,290,1,#FFA300
ARTS,330,2017.7,330,1,#FFA300
ARTS,330,2017.8,330,1,#FFA300
ARTS,330,2017.9,330,1,#FFA300
ARTS,360,2018,330,1,#FFA300
ARTS,378,2018.1,360,1,#FFA300
ARTS,398,2018.2,378,1,#FFA300
ARTS,468,2018.3,398,1,#FFA300
ARTS,563,2018.4,468,1,#FFA300
ARTS,625,2018.5,563,1,#FFA300
ARTS,657,2018.6,625,1,#FFA300
ARTS,669,2018.7,657,1,#FFA300
ARTS,669,2018.8,669,1,#FFA300
ARTS,669,2018.9,669,1,#FFA300
ARTS,819,2019,669,1,#FFA300
ARTS,853,2019.1,819,1,#FFA300
ARTS,915,2019.2,853,1,#FFA300
ARTS,947,2019.3,915,1,#FFA300
ARTS,989,2019.4,947,1,#FFA300
BIZ,316,2016.3,316,0,#78BE20
BIZ,316,2016.4,316,0,#78BE20
BIZ,316,2016.5,316,0,#78BE20
BIZ,316,2016.6,316,3,#78BE20
BIZ,316,2016.7,316,3,#78BE20
BIZ,316,2016.8,316,3,#78BE20
BIZ,316,2016.9,316,3,#78BE20
BIZ,316,2017,316,3,#78BE20
BIZ,316,2017.1,316,3,#78BE20
BIZ,316,2017.2,316,3,#78BE20
BIZ,611,2017.3,611,3,#78BE20
BIZ,611,2017.4,611,3,#78BE20
BIZ,611,2017.5,611,3,#78BE20
BIZ,977,2017.6,611,3,#78BE20
BIZ,977,2017.7,977,3,#78BE20
BIZ,1121,2017.8,977,3,#78BE20
BIZ,1121,2017.9,1121,3,#78BE20
BIZ,1151,2018,1121,3,#78BE20
BIZ,1231,2018.1,1151,3,#78BE20
BIZ,1556,2018.2,1231,3,#78BE20
BIZ,1772,2018.3,1556,3,#78BE20
BIZ,2320,2018.4,1172,3,#78BE20
BIZ,2592,2018.5,2320,3,#78BE20
BIZ,2678,2018.6,2592,3,#78BE20
BIZ,2728,2018.7,2678,3,#78BE20
BIZ,2898,2018.8,2728,3,#78BE20
BIZ,2956,2018.9,2898,3,#78BE20
BIZ,3096,2019,2956,3,#78BE20
BIZ,3128,2019.1,3096,3,#78BE20
BIZ,3163,2019.2,3128,3,#78BE20
BIZ,3711,2019.3,3163,3,#78BE20
BIZ,3983,2019.4,3711,3,#78BE20
CHEM,64,2016.1,64,4,#33AB7E
CHEM,64,2016.2,64,4,#33AB7E
CHEM,98,2016.3,64,3,#33AB7E
CHEM,98,2016.4,98,3,#33AB7E
CHEM,194,2016.5,98,2,#33AB7E
CHEM,194,2016.6,194,4,#33AB7E
CHEM,194,2016.7,194,4,#33AB7E
CHEM,194,2016.8,194,4,#33AB7E
CHEM,194,2016.9,194,4,#33AB7E
CHEM,194,2017,194,4,#33AB7E
CHEM,194,2017.1,194,4,#33AB7E
CHEM,194,2017.2,194,4,#33AB7E
CHEM,194,2017.3,194,4,#33AB7E
CHEM,194,2017.4,194,4,#33AB7E
CHEM,225,2017.5,194,4,#33AB7E
CHEM,225,2017.6,225,4,#33AB7E
CHEM,321,2017.7,225,4,#33AB7E
CHEM,321,2017.8,321,4,#33AB7E
CHEM,336,2017.9,321,4,#33AB7E
CHEM,351,2018,336,4,#33AB7E
CHEM,351,2018.1,351,4,#33AB7E
CHEM,1084,2018.2,351,4,#33AB7E
CHEM,1084,2018.3,1084,4,#33AB7E
CHEM,1384,2018.4,1084,4,#33AB7E
CHEM,1419,2018.5,1384,4,#33AB7E
CHEM,1419,2018.6,1419,4,#33AB7E
CHEM,1533,2018.7,1419,4,#33AB7E
CHEM,1533,2018.8,1533,4,#33AB7E
CHEM,1647,2018.9,1533,4,#33AB7E
CHEM,1647,2019,1647,4,#33AB7E
CHEM,1658,2019.1,1647,4,#33AB7E
CHEM,1958,2019.2,1658,4,#33AB7E
CHEM,1958,2019.3,1958,4,#33AB7E
CHEM,1958,2019.4,1958,4,#33AB7E
ELEC,112,2016.6,112,2,#7D55C7
ELEC,112,2016.7,112,2,#7D55C7
ELEC,172,2016.8,112,2,#7D55C7
ELEC,172,2016.9,172,2,#7D55C7
ELEC,402,2017,172,2,#7D55C7
ELEC,402,2017.1,402,2,#7D55C7
ELEC,956,2017.2,402,2,#7D55C7
ELEC,986,2017.3,956,2,#7D55C7
ELEC,1250,2017.4,986,2,#7D55C7
ELEC,1362,2017.5,1250,2,#7D55C7
ELEC,2182,2017.6,1362,2,#7D55C7
ELEC,2242,2017.7,2182,2,#7D55C7
ELEC,2242,2017.8,2242,2,#7D55C7
ELEC,2242,2017.9,2242,2,#7D55C7
ELEC,2265,2018,2242,2,#7D55C7
ELEC,2334,2018.1,2265,2,#7D55C7
ELEC,3196,2018.2,2334,2,#7D55C7
ELEC,3406,2018.3,3196,2,#7D55C7
ELEC,3609,2018.4,3406,2,#7D55C7
ELEC,3676,2018.5,3609,2,#7D55C7
ELEC,3966,2018.6,3676,2,#7D55C7
ELEC,5019,2018.7,3966,2,#7D55C7
ELEC,5019,2018.8,5019,2,#7D55C7
ELEC,5019,2018.9,5019,2,#7D55C7
ELEC,5341,2019,5019,2,#7D55C7
ELEC,6603,2019.1,5341,2,#7D55C7
ELEC,6846,2019.2,6603,2,#7D55C7
ELEC,6906,2019.3,6846,2,#7D55C7
