School,ValueEnroll,Year.Month,lastValue,CummulativeSum,Rank
ARTS,0,2016.01.00,0,0,4
BIZ,45,2016.01.00,0,0,1
CHEM,19,2016.01.00,0,0,3
ELEC,0,2016.01.00,0,0,5
ENG,0,2016.01.00,0,0,6
Language Centre,0,2016.01.00,0,0,7
SCI,28,2016.01.00,0,0,2
ARTS,0,2016.02.00,0,0,1
BIZ,0,2016.02.00,45,45,2
CHEM,0,2016.02.00,19,19,3
ELEC,0,2016.02.00,0,0,4
ENG,0,2016.02.00,0,0,5
Language Centre,0,2016.02.00,0,0,6
SCI,0,2016.02.00,28,28,7
ARTS,53,2016.03.00,0,53,4
BIZ,316,2016.03.00,0,361,2
CHEM,0,2016.03.00,0,19,5
ELEC,0,2016.03.00,0,0,6
ENG,142,2016.03.00,0,142,3
Language Centre,0,2016.03.00,0,0,7
SCI,852,2016.03.00,0,880,1
ARTS,0,2016.04.00,53,53,1
BIZ,0,2016.04.00,316,361,2
CHEM,0,2016.04.00,0,19,3
ELEC,0,2016.04.00,0,0,4
ENG,0,2016.04.00,142,142,5
Language Centre,0,2016.04.00,0,0,6
SCI,0,2016.04.00,852,880,7
ARTS,0,2016.05.00,0,53,3
BIZ,0,2016.05.00,0,361,4
CHEM,34,2016.05.00,0,53,2
ELEC,0,2016.05.00,0,0,5
ENG,0,2016.05.00,0,142,6
Language Centre,0,2016.05.00,0,0,7
SCI,1000,2016.05.00,0,1880,1
ARTS,0,2016.06.00,0,53,2
BIZ,0,2016.06.00,0,361,3
CHEM,0,2016.06.00,34,53,4
ELEC,65,2016.06.00,0,65,1
ENG,0,2016.06.00,0,142,5
Language Centre,0,2016.06.00,0,0,6
SCI,0,2016.06.00,1000,1880,7
ARTS,0,2016.07.00,0,53,1
BIZ,0,2016.07.00,0,361,2
CHEM,0,2016.07.00,0,53,3
ELEC,0,2016.07.00,65,65,4
ENG,0,2016.07.00,0,142,5
Language Centre,0,2016.07.00,0,0,6
SCI,0,2016.07.00,0,1880,7
ARTS,0,2016.08.00,0,53,2
BIZ,96,2016.08.00,0,457,1
CHEM,0,2016.08.00,0,53,3
ELEC,0,2016.08.00,0,65,4
ENG,0,2016.08.00,0,142,5
