Country Name,Region,2016
Aruba,Latin America & Caribbean,
Afghanistan,South Asia,19469022207.64
Angola,Sub-Saharan Africa,95335111741.20
Albania,Europe & Central Asia,11863865978.09
Andorra,Europe & Central Asia,2858517699.12
United Arab Emirates,Middle East & North Africa,348743265704.56
Argentina,Latin America & Caribbean,545476103427.25
Armenia,Europe & Central Asia,10572298341.56
American Samoa,East Asia & Pacific,658000000.00
Antigua and Barbuda,Latin America & Caribbean,1460144703.70
Australia,East Asia & Pacific,1204616439828.41
Austria,Europe & Central Asia,390799991147.47
Azerbaijan,Europe & Central Asia,37847715736.04
Burundi,Sub-Saharan Africa,3007029030.40
Belgium,Europe & Central Asia,467955709817.54
Benin,Sub-Saharan Africa,8583031398.22
Burkina Faso,Sub-Saharan Africa,11693235542.07
Bangladesh,South Asia,221415162445.65
Bulgaria,Europe & Central Asia,53237882472.71
Bahrain,Middle East & North Africa,32179069148.94
"Bahamas, The",Latin America & Caribbean,11261800000.00
