name,value,year,lastValue,rank
ARTS,53,2016.6,53,1
ARTS,53,2016.7,53,1
ARTS,53,2016.8,53,1
ARTS,53,2016.9,53,1
ARTS,123,2017.0,53,1
ARTS,154,2017.1,123,1
ARTS,154,2017.2,154,1
ARTS,154,2017.3,154,1
ARTS,154,2017.4,154,1
ARTS,200,2017.5,154,1
ARTS,236,2017.6,200,1
ARTS,276,2017.7,236,1
ARTS,312,2017.8,276,1
ARTS,332,2018.0,312,1
ARTS,332,2018.1,332,1
ARTS,332,2018.2,332,1
ARTS,332,2018.3,332,1
ARTS,332,2018.4,332,1
ARTS,402,2018.5,332,1
ARTS,402,2018.6,402,1
ARTS,402,2018.7,402,1
ARTS,402,2018.8,402,1
ARTS,402,2018.9,402,1
ARTS,522,2019.0,402,1
ARTS,522,2019.1,522,1
ARTS,522,2019.2,522,1
BIZ,316,2016.3,316,3
BIZ,316,2016.7,316,3
BIZ,316,2016.8,316,3
BIZ,316,2016.9,316,3
BIZ,316,2017.0,316,3
BIZ,316,2017.1,316,3
BIZ,316,2017.2,316,3
BIZ,611,2017.3,611,3
BIZ,611,2017.4,611,3
BIZ,611,2017.5,611,3
BIZ,611,2017.6,611,3
BIZ,611,2017.7,611,3
BIZ,661,2017.8,611,3
BIZ,691,2018.0,661,3
BIZ,771,2018.1,691,3
BIZ,1096,2018.2,771,3
BIZ,1171,2018.3,1096,3
BIZ,1271,2018.4,1171,3
BIZ,1341,2018.5,1271,3
BIZ,1391,2018.6,1341,3
BIZ,1451,2018.7,1391,3
BIZ,1451,2018.8,1451,3
BIZ,1451,2018.9,1451,3
BIZ,1531,2019.0,1451,3
BIZ,1531,2019.1,1531,3
BIZ,1881,2019.2,1531,3
CHEM,94549,2017.6,94549,10
CHEM,250642,2017.7,94549,3
CHEM,273658,2017.8,250642,3
CHEM,233480,2017.9,273658,3
CHEM,256936,2018.0,233480,3
CHEM,243804,2018.1,256936,3
CHEM,177675,2018.2,243804,3
CHEM,191228,2018.3,177675,3
CHEM,196273,2018.4,191228,3
CHEM,232150,2018.5,196273,2
CHEM,240102,2018.6,232150,2
CHEM,210296,2018.7,240102,3
CHEM,226949,2018.8,210296,3
CHEM,177626,2018.9,226949,3
CHEM,163673,2019.0,177626,3
CHEM,175691,2019.1,163673,3
CHEM,163759,2019.2,175691,4
ELEC,199232,2017.6,199232,3
ELEC,224663,2017.7,199232,4
ELEC,193634,2017.8,224663,4
ELEC,164110,2017.9,193634,4
ELEC,193159,2018.0,164110,4
ELEC,167587,2018.1,193159,4
ELEC,113872,2018.2,167587,4
ELEC,131383,2018.3,113872,4
ELEC,138021,2018.4,131383,4
ELEC,131712,2018.5,138021,4
ELEC,135645,2018.6,131712,4
ELEC,129148,2018.7,135645,4
ELEC,145085,2018.8,129148,5
ELEC,114273,2018.9,145085,6
ELEC,102497,2019.0,114273,7
ELEC,117271,2019.1,1024976,6
ELEC,174906,2019.2,117271,3
ENG,144851,2017.6,144851,5
ENG,156311,2017.7,144851,5
ENG,138104,2017.8,156311,5
ENG,126675,2017.9,138104,5
ENG,137696,2018.0,126675,5
ENG,142834,2018.1,137696,5
ENG,99857,2018.2,142834,5
ENG,110423,2018.3,99857,5
ENG,112166,2018.4,110423,6
ENG,98366,2018.5,112166,5
ENG,101483,2018.6,98366,5
ENG,102442,2018.7,101483,5
ENG,115918,2018.8,102442,6
ENG,103141,2018.9,115918,7
ENG,117518,2019.0,103141,5
ENG,118779,2019.1,117518,5
ENG,112501,2019.2,118779,6
SCI,104453,2017.7,104453,9
SCI,123876,2017.8,104453,6
SCI,106095,2017.9,123876,6
SCI,95010,2018.0,106095,7
SCI,97003,2018.1,95010,6
SCI,69481,2018.2,97003,6
SCI,78109,2018.3,69481,6
SCI,68279,2018.4,78109,7
SCI,59847,2018.5,68279,6
SCI,61426,2018.6,59847,6
SCI,60215,2018.7,61426,6
SCI,85539,2018.8,60215,9
SCI,63635,2018.9,85539,8
SCI,53464,2019,63635,11
SCI,57866,2019.1,53464,12
SCI,65567,2019.2,57866,12
Language Centre,117694,2017.7,117694,8
Language Centre,72256,2017.8,117694,8
Language Centre,65618,2017.9,72256,9
Language Centre,62263,2018.0,65618,8
Language Centre,54310,2019.1,62263,9
Language Centre,37638,2018.2,54310,10
Language Centre,42922,2018.3,37638,11
Language Centre,44350,2018.4,42922,11
Language Centre,49942,2018.5,44350,7
Language Centre,51440,2018.6,49942,7
Language Centre,47127,2018.7,51440,8
Language Centre,48956,2018.8,47127,14
Language Centre,35872,2018.9,48956,13
