name,value,year,lastValue,rank
ELEC,65,2016.06,0,1
ARTS,53,2016.06,53,2
BIZ,361,2016.06,361,3
CHEM,53,2016.06,53,4
ENG,142,2016.06,142,5
Language Centre,0,2016.06,0,6
SCI,1880,2016.06,1880,7
ARTS,53,2016.07,53,1
BIZ,361,2016.07,361,2
CHEM,53,2016.07,53,3
ELEC,65,2016.07,65,4
ENG,142,2016.07,142,5
Language Centre,0,2016.07,0,6
SCI,1880,2016.07,1880,7
BIZ,457,2016.08,361,1
ARTS,53,2016.08,53,2
CHEM,53,2016.08,53,3
ELEC,65,2016.08,65,4
ENG,142,2016.08,142,5
Language Centre,0,2016.08,0,6
SCI,1880,2016.08,1880,7
SCI,2842,2016.09,1880,1
Language Centre,314,2016.09,0,2
ENG,244,2016.09,142,3
ELEC,125,2016.09,65,4
CHEM,53,2016.09,53,5
BIZ,457,2016.09,457,6
ARTS,53,2016.09,53,7
ARTS,64,2016.10,53,1
BIZ,457,2016.10,457,2
CHEM,53,2016.10,53,3
ELEC,125,2016.10,125,4
ENG,244,2016.10,244,5
Language Centre,314,2016.10,314,6
SCI,2842,2016.10,2842,7
ARTS,64,2016.11,64,1
BIZ,457,2016.11,457,2
CHEM,53,2016.11,53,3
ELEC,125,2016.11,125,4
ENG,244,2016.11,244,5
Language Centre,314,2016.11,314,6
SCI,2842,2016.11,2842,7
ARTS,64,2016.12,64,1
BIZ,457,2016.12,457,2
CHEM,53,2016.12,53,3
ELEC,125,2016.12,125,4
ENG,244,2016.12,244,5
Language Centre,314,2016.12,314,6
SCI,2842,2016.12,2842,7
ELEC,355,2017.01,125,1
Language Centre,468,2017.01,314,2
ARTS,134,2017.01,64,3
BIZ,457,2017.01,457,4
CHEM,53,2017.01,53,5
ENG,244,2017.01,244,6
SCI,2842,2017.01,2842,7
SCI,5630,2017.02,2842,1
ARTS,165,2017.02,134,2
BIZ,457,2017.02,457,3
CHEM,53,2017.02,53,4
ELEC,355,2017.02,355,5
ENG,244,2017.02,244,6
Language Centre,468,2017.02,468,7
ELEC,939,2017.03,355,1
BIZ,752,2017.03,457,2
SCI,5724,2017.03,5630,3
ARTS,165,2017.03,165,4
CHEM,53,2017.03,53,5
ENG,244,2017.03,244,6
Language Centre,468,2017.03,468,7
Language Centre,4208,2017.04,468,1
ENG,798,2017.04,244,2
ELEC,939,2017.04,939,3
CHEM,53,2017.04,53,4
