name,value,year,lastValue,rank
ARTS,0,2016.01,0,4
BIZ,0,2016.01,0,1
CHEM,0,2016.01,0,3
ELEC,0,2016.01,0,5
ENG,0,2016.01,0,6
Language Centre,0,2016.01,0,7
SCI,0,2016.01,0,2
ARTS,0,2016.02,0,1
BIZ,45,2016.02,45,2
CHEM,19,2016.02,19,3
ELEC,0,2016.02,0,4
ENG,0,2016.02,0,5
Language Centre,0,2016.02,0,6
SCI,28,2016.02,28,7
ARTS,53,2016.03,0,4
BIZ,361,2016.03,0,2
CHEM,19,2016.03,0,5
ELEC,0,2016.03,0,6
ENG,142,2016.03,0,3
Language Centre,0,2016.03,0,7
SCI,880,2016.03,0,1
ARTS,53,2016.04,53,1
BIZ,361,2016.04,316,2
CHEM,19,2016.04,0,3
ELEC,0,2016.04,0,4
ENG,142,2016.04,142,5
Language Centre,0,2016.04,0,6
SCI,880,2016.04,852,7
ARTS,53,2016.05,0,3
BIZ,361,2016.05,0,4
CHEM,53,2016.05,0,2
ELEC,0,2016.05,0,5
ENG,142,2016.05,0,6
Language Centre,0,2016.05,0,7
SCI,1880,2016.05,0,1
ARTS,53,2016.06,0,2
BIZ,361,2016.06,0,3
CHEM,53,2016.06,34,4
ELEC,65,2016.06,0,1
ENG,142,2016.06,0,5
Language Centre,0,2016.06,0,6
SCI,1880,2016.06,1000,7
ARTS,53,2016.07,0,1
BIZ,361,2016.07,0,2
CHEM,53,2016.07,0,3
ELEC,65,2016.07,65,4
ENG,142,2016.07,0,5
Language Centre,0,2016.07,0,6
SCI,1880,2016.07,0,7
ARTS,53,2016.08,0,2
BIZ,457,2016.08,0,1
CHEM,53,2016.08,0,3
ELEC,65,2016.08,0,4
ENG,142,2016.08,0,5
Language Centre,0,2016.08,0,6
SCI,1880,2016.08,0,7
ARTS,53,2016.09,0,7
BIZ,457,2016.09,96,6
CHEM,53,2016.09,0,5
ELEC,125,2016.09,0,4
ENG,244,2016.09,0,3
Language Centre,314,2016.09,0,2
SCI,2842,2016.09,0,1
ARTS,64,2016.010,0,1
BIZ,457,2016.010,0,2
CHEM,53,2016.010,0,3
ELEC,125,2016.010,60,4
ENG,244,2016.010,102,5
Language Centre,314,2016.010,314,6
SCI,2842,2016.010,962,7
ARTS,64,2016.011,11,1
BIZ,457,2016.011,0,2
CHEM,53,2016.011,0,3
ELEC,125,2016.011,0,4
ENG,244,2016.011,0,5
Language Centre,314,2016.011,0,6
SCI,2842,2016.011,0,7
ARTS,64,2016.012,0,1
BIZ,457,2016.012,0,2
CHEM,53,2016.012,0,3
ELEC,125,2016.012,0,4
ENG,244,2016.012,0,5
Language Centre,314,2016.012,0,6
SCI,2842,2016.012,0,7
ARTS,134,2017.01,0,3
BIZ,457,2017.01,0,4
CHEM,53,2017.01,0,5
ELEC,355,2017.01,0,1
ENG,244,2017.01,0,6
Language Centre,468,2017.01,0,2
SCI,2842,2017.01,0,7
ARTS,165,2017.02,70,2
BIZ,457,2017.02,0,3
CHEM,53,2017.02,0,4
ELEC,355,2017.02,230,5
ENG,244,2017.02,0,6
Language Centre,468,2017.02,154,7
SCI,5630,2017.02,0,1
ARTS,165,2017.03,31,4
BIZ,752,2017.03,0,2
CHEM,53,2017.03,0,5
ELEC,939,2017.03,0,1
