name,value,year,lastValue,rank
ARTS,0,2016.01.00,0,4
BIZ,0,2016.01.00,0,1
CHEM,0,2016.01.00,0,3
ELEC,0,2016.01.00,0,5
ENG,0,2016.01.00,0,6
Language Centre,0,2016.01.00,0,7
SCI,0,2016.01.00,0,2
ARTS,0,2016.02.00,0,1
BIZ,45,2016.02.00,0,2
CHEM,19,2016.02.00,0,3
ELEC,0,2016.02.00,0,4
ENG,0,2016.02.00,0,5
Language Centre,0,2016.02.00,0,6
SCI,28,2016.02.00,0,7
ARTS,53,2016.03.00,0,4
BIZ,361,2016.03.00,45,2
CHEM,19,2016.03.00,19,5
ELEC,0,2016.03.00,0,6
ENG,142,2016.03.00,0,3
Language Centre,0,2016.03.00,0,7
SCI,880,2016.03.00,28,1
ARTS,53,2016.04.00,53,1
BIZ,361,2016.04.00,361,2
CHEM,19,2016.04.00,19,3
ELEC,0,2016.04.00,0,4
ENG,142,2016.04.00,142,5
Language Centre,0,2016.04.00,0,6
SCI,880,2016.04.00,880,7
ARTS,53,2016.05.00,53,3
BIZ,361,2016.05.00,361,4
CHEM,53,2016.05.00,19,2
ELEC,0,2016.05.00,0,5
ENG,142,2016.05.00,142,6
Language Centre,0,2016.05.00,0,7
SCI,1880,2016.05.00,880,1
ARTS,53,2016.06.00,53,2
BIZ,361,2016.06.00,361,3
CHEM,53,2016.06.00,53,4
ELEC,65,2016.06.00,0,1
ENG,142,2016.06.00,142,5
Language Centre,0,2016.06.00,0,6
SCI,1880,2016.06.00,1880,7
ARTS,53,2016.07.00,53,1
BIZ,361,2016.07.00,361,2
CHEM,53,2016.07.00,53,3
ELEC,65,2016.07.00,65,4
ENG,142,2016.07.00,142,5
Language Centre,0,2016.07.00,0,6
SCI,1880,2016.07.00,1880,7
ARTS,53,2016.08.00,53,2
BIZ,457,2016.08.00,361,1
CHEM,53,2016.08.00,53,3
ELEC,65,2016.08.00,65,4
ENG,142,2016.08.00,142,5
Language Centre,0,2016.08.00,0,6
SCI,1880,2016.08.00,1880,7
ARTS,53,2016.09.00,53,7
BIZ,457,2016.09.00,457,6
CHEM,53,2016.09.00,53,5
ELEC,125,2016.09.00,65,4
ENG,244,2016.09.00,142,3
Language Centre,314,2016.09.00,0,2
SCI,2842,2016.09.00,1880,1
ARTS,64,2016.10.00,53,1
BIZ,457,2016.10.00,457,2
CHEM,53,2016.10.00,53,3
ELEC,125,2016.10.00,125,4
ENG,244,2016.10.00,244,5
Language Centre,314,2016.10.00,314,6
SCI,2842,2016.10.00,2842,7
ARTS,64,2016.11.00,64,1
BIZ,457,2016.11.00,457,2
CHEM,53,2016.11.00,53,3
ELEC,125,2016.11.00,125,4
ENG,244,2016.11.00,244,5
Language Centre,314,2016.11.00,314,6
SCI,2842,2016.11.00,2842,7
ARTS,64,2016.12.00,64,1
BIZ,457,2016.12.00,457,2
CHEM,53,2016.12.00,53,3
ELEC,125,2016.12.00,125,4
ENG,244,2016.12.00,244,5
Language Centre,314,2016.12.00,314,6
SCI,2842,2016.12.00,2842,7
ARTS,134,2017.01.00,64,3
BIZ,457,2017.01.00,457,4
CHEM,53,2017.01.00,53,5
ELEC,355,2017.01.00,125,1
ENG,244,2017.01.00,244,6
Language Centre,468,2017.01.00,314,2
SCI,2842,2017.01.00,2842,7
ARTS,165,2017.02.00,134,2
BIZ,457,2017.02.00,457,3
CHEM,53,2017.02.00,53,4
ELEC,355,2017.02.00,355,5
ENG,244,2017.02.00,244,6
Language Centre,468,2017.02.00,468,7
SCI,5630,2017.02.00,2842,1
ARTS,165,2017.03.00,165,4
BIZ,752,2017.03.00,457,2
CHEM,53,2017.03.00,53,5
ELEC,939,2017.03.00,355,1
ENG,244,2017.03.00,244,6
Language Centre,468,2017.03.00,468,7
SCI,5724,2017.03.00,5630,3
ARTS,165,2017.04.00,165,6
BIZ,752,2017.04.00,752,5
CHEM,53,2017.04.00,53,4
ELEC,939,2017.04.00,939,3
ENG,798,2017.04.00,244,2
Language Centre,4208,2017.04.00,468,1
SCI,5724,2017.04.00,5724,7
ARTS,211,2017.05.00,165,2
BIZ,752,2017.05.00,752,3
CHEM,53,2017.05.00,53,4
ELEC,939,2017.05.00,939,5
ENG,940,2017.05.00,798,1
Language Centre,4208,2017.05.00,4208,6
SCI,5724,2017.05.00,5724,7
ARTS,211,2017.06.00,211,7
BIZ,752,2017.06.00,752,6
CHEM,53,2017.06.00,53,5
ELEC,939,2017.06.00,939,4
ENG,940,2017.06.00,940,3
Language Centre,4351,2017.06.00,4208,2
SCI,6567,2017.06.00,5724,1
ARTS,211,2017.07.00,211,1
BIZ,752,2017.07.00,752,2
CHEM,53,2017.07.00,53,3
ELEC,939,2017.07.00,939,4
ENG,940,2017.07.00,940,5
Language Centre,4351,2017.07.00,4351,6
SCI,6567,2017.07.00,6567,7
ARTS,211,2017.08.00,211,2
BIZ,802,2017.08.00,752,1
CHEM,53,2017.08.00,53,3
ELEC,939,2017.08.00,939,4
ENG,940,2017.08.00,940,5
Language Centre,4351,2017.08.00,4351,6
SCI,6567,2017.08.00,6567,7
ARTS,323,2017.09.00,211,3
BIZ,802,2017.09.00,802,5
CHEM,53,2017.09.00,53,6
ELEC,1759,2017.09.00,939,1
ENG,1388,2017.09.00,940,2
Language Centre,4421,2017.09.00,4351,4
SCI,6567,2017.09.00,6567,7
ARTS,323,2017.10.00,323,3
BIZ,817,2017.10.00,802,2
CHEM,53,2017.10.00,53,4
ELEC,1759,2017.10.00,1759,5
ENG,1388,2017.10.00,1388,6
Language Centre,4421,2017.10.00,4421,7
SCI,6619,2017.10.00,6567,1
ARTS,323,2017.11.00,323,1
BIZ,817,2017.11.00,817,2
CHEM,53,2017.11.00,53,3
ELEC,1759,2017.11.00,1759,4
ENG,1388,2017.11.00,1388,5
Language Centre,4421,2017.11.00,4421,6
SCI,6619,2017.11.00,6619,7
ARTS,323,2017.12.00,323,1
BIZ,817,2017.12.00,817,2
CHEM,53,2017.12.00,53,3
ELEC,1759,2017.12.00,1759,4
ENG,1388,2017.12.00,1388,5
Language Centre,4421,2017.12.00,4421,6
SCI,6619,2017.12.00,6619,7
ARTS,343,2018.01.00,323,5
BIZ,1252,2018.01.00,817,1
CHEM,53,2018.01.00,53,6
ELEC,1874,2018.01.00,1759,3
ENG,1388,2018.01.00,1388,7
Language Centre,4446,2018.01.00,4421,4
SCI,6984,2018.01.00,6619,2
ARTS,343,2018.02.00,343,1
BIZ,1252,2018.02.00,1252,2
CHEM,53,2018.02.00,53,3
ELEC,1874,2018.02.00,1874,4
ENG,1388,2018.02.00,1388,5
Language Centre,4446,2018.02.00,4446,6
SCI,6984,2018.02.00,6984,7
ARTS,343,2018.03.00,343,2
BIZ,2285,2018.03.00,1252,1
CHEM,53,2018.03.00,53,3
ELEC,1874,2018.03.00,1874,4
ENG,1388,2018.03.00,1388,5
Language Centre,4446,2018.03.00,4446,6
SCI,6984,2018.03.00,6984,7
ARTS,343,2018.04.00,343,3
BIZ,2360,2018.04.00,2285,2
CHEM,53,2018.04.00,53,4
ELEC,1874,2018.04.00,1874,5
ENG,1533,2018.04.00,1388,1
Language Centre,4446,2018.04.00,4446,6
SCI,6984,2018.04.00,6984,7
ARTS,413,2018.05.00,343,2
BIZ,2360,2018.05.00,2360,3
CHEM,53,2018.05.00,53,4
ELEC,2344,2018.05.00,1874,1
ENG,1533,2018.05.00,1533,5
Language Centre,4446,2018.05.00,4446,6
SCI,6984,2018.05.00,6984,7
ARTS,413,2018.06.00,413,5
BIZ,2360,2018.06.00,2360,4
CHEM,53,2018.06.00,53,3
ELEC,2344,2018.06.00,2344,2
ENG,1983,2018.06.00,1533,1
Language Centre,4446,2018.06.00,4446,6
SCI,6984,2018.06.00,6984,7
ARTS,413,2018.07.00,413,1
BIZ,2360,2018.07.00,2360,2
CHEM,53,2018.07.00,53,3
ELEC,2344,2018.07.00,2344,4
ENG,1983,2018.07.00,1983,5
Language Centre,4446,2018.07.00,4446,6
SCI,6984,2018.07.00,6984,7
ARTS,413,2018.08.00,413,7
BIZ,2530,2018.08.00,2360,1
CHEM,53,2018.08.00,53,6
ELEC,2430,2018.08.00,2344,2
ENG,1983,2018.08.00,1983,5
Language Centre,4521,2018.08.00,4446,3
SCI,6984,2018.08.00,6984,4
ARTS,413,2018.09.00,413,3
BIZ,2580,2018.09.00,2530,2
CHEM,53,2018.09.00,53,4
ELEC,2430,2018.09.00,2430,5
ENG,2233,2018.09.00,1983,1
Language Centre,4521,2018.09.00,4521,6
SCI,6984,2018.09.00,6984,7
ARTS,413,2018.10.00,413,1
BIZ,2580,2018.10.00,2580,2
CHEM,53,2018.10.00,53,3
ELEC,2430,2018.10.00,2430,4
ENG,2233,2018.10.00,2233,5
Language Centre,4521,2018.10.00,4521,6
SCI,6984,2018.10.00,6984,7
ARTS,413,2018.11.00,413,3
